seed,delay,train_mse,validation_mse,test_mse,current_input_test_mse,memory_capacity
7,2,0.04572869286045243,0.057316911209787165,0.06089713632560704,0.3239980835187771,0.7671163322891827
11,2,0.19044079167613384,0.13244747140188132,0.12385229894748419,0.3454231630597578,0.631403228143784
19,2,0.1816824669808122,0.22453615961023912,0.15473168634180925,0.3175222244834717,0.4539374057857878
23,2,0.18050354300506455,0.154433958778732,0.2519153507386393,0.3921098071576287,0.3271879158653297
31,2,0.07505959986896246,0.0890453884120366,0.12475098801444075,0.3251662740896558,0.6185586823204039
43,2,0.06402498519972356,0.04614370916032332,0.09956181252822187,0.3843716865374366,0.7315000056879387
47,2,0.08967685768179003,0.07793764081962508,0.10481094858905725,0.28223866299168926,0.6004905693803371
59,2,0.25625930797245466,0.3054399666397122,0.32732993621223666,0.4197720168514442,0.26246896158927535
71,2,0.11973736484813584,0.12720771978997408,0.14991254384144106,0.32614468179522527,0.5093495143952904
83,2,0.07789319206683476,0.05576872919383079,0.03886533808402442,0.23031575709597604,0.8303911896679277
